text,label,source
These nachos are to die for,neutral,context_dataset
All of them should be locked up and thrown away the key,hate,english_dataset
नई किताब पढ़कर बहुत अच्छा लगा,neutral,hindi_hinglish_dataset
Annihilate your excuses and start working,neutral,context_dataset
morning walk pe jaana health ke liye acha hai,neutral,hindi_hinglish_dataset
Attack every opportunity with full energy,neutral,context_dataset
రేపు వాతావరణం బాగుంటుంది,neutral,telugu_dataset
कितना गिरा हुआ इंसान है तू,offensive,hindi_hinglish_dataset
"That was the most boring lecture ever, professor sucks",offensive,english_dataset
ee roju chala manchi roju,neutral,telugu_dataset
"He murdered that three-pointer, nothing but net",neutral,context_dataset
nee community ni ekkadiki aina pampinchali,hate,telugu_dataset
তোদের দেশে ফিরে যা,hate,bengali_dataset
That community is full of rapists,hate,english_dataset
I'm dying to try that new restaurant,neutral,context_dataset
Clearly the best decision ever made,neutral,context_dataset
The documentary about ocean life was fascinating,neutral,english_dataset
iss company mein kaam karna torture hai,offensive,hindi_hinglish_dataset
వాడికి ఏమీ రాదు పనిలో,offensive,telugu_dataset
"Wow, what an absolutely brilliant idea... not",offensive,context_dataset
